timestamp,type,reason,price,btc_qty,usdt_value,avg_cost,portfolio_value
2025-06-25 16:45:09,BUY,Entrada Inicial no Mercado,"107,624.97",0.00013937,15.00,"107,624.97",100.00
2025-06-25 16:46:13,SELL,Lucro de 0.06%,"107,690.70",0.00013937,15.01,"107,624.97",100.01
2025-06-25 16:46:18,BUY,Entrada Inicial no Mercado,"107,698.92",0.00013929,15.00,"107,698.92",100.01
2025-06-25 16:49:37,SELL,Lucro de 0.09%,"107,797.52",0.00013929,15.02,"107,698.92",100.02
2025-06-25 16:49:42,BUY,Entrada Inicial no Mercado,"107,779.20",0.00013921,15.00,"107,779.20",100.02
