Timestamp,Open,High,Low,Close,Volume
1747188000000,103734.81,103786.21,103496.82,103713.27,481.61389
1747191600000,103713.27,103777.78,103453.26,103587.44,415.74688
1747195200000,103587.44,103842.98,103471.36,103743.02,427.81934
1747198800000,103743.02,103971.0,103687.13,103896.71,506.88636
1747202400000,103896.7,103952.39,103662.82,103757.5,381.32265
1747206000000,103757.5,103800.0,103381.02,103716.55,786.22564
1747209600000,103716.55,103888.0,103187.0,103200.0,1056.63353
1747213200000,103200.0,103496.05,102875.22,103485.73,1191.70027
1747216800000,103485.73,103929.32,103460.72,103708.49,704.389
1747220400000,103708.5,104145.0,103708.5,103944.93,583.04021
1747224000000,103944.93,104208.77,103907.45,103999.99,488.53049
1747227600000,103999.99,104356.95,103492.06,103970.87,1907.26615
1747231200000,103970.87,103971.88,102902.0,103265.46,1950.09622
1747234800000,103265.47,103555.56,102833.55,103514.24,856.1516
1747238400000,103514.24,103614.61,103173.55,103363.65,475.44971
1747242000000,103363.66,103428.58,102602.05,103246.79,595.35133
1747245600000,103246.78,103523.81,103029.45,103523.81,393.98215
1747249200000,103523.8,103720.44,103243.0,103321.72,392.19365
1747252800000,103321.73,103658.35,103304.66,103555.51,195.13432
1747256400000,103555.52,103667.52,103434.55,103647.39,186.25436
1747260000000,103647.39,103658.3,103430.63,103511.46,139.37207
1747263600000,103511.46,103608.73,103357.77,103507.82,224.39068
1747267200000,103507.83,103866.51,103492.06,103801.85,316.48566
1747270800000,103801.85,103801.86,102968.16,103033.52,568.67212
1747274400000,103033.51,103206.35,102916.05,103047.62,446.23075
1747278000000,103047.62,103142.86,102720.0,102753.63,466.40868
1747281600000,102753.62,102962.38,102711.0,102891.76,351.7693
1747285200000,102891.76,102922.17,102336.7,102375.31,519.41864
1747288800000,102375.31,102686.1,102140.0,102247.4,714.15222
1747292400000,102247.41,102440.0,101724.17,101779.99,768.32213
1747296000000,101779.99,102327.0,101758.97,102274.65,594.85241
1747299600000,102274.65,102274.66,101500.0,101823.39,860.32483
1747303200000,101823.4,101930.58,101600.0,101804.74,494.18425
1747306800000,101804.75,102441.0,101790.2,102371.61,662.74555
1747310400000,102371.62,102838.82,102271.58,102560.0,981.88637
1747314000000,102560.01,102787.82,101569.84,102133.49,1037.21134
1747317600000,102133.49,102398.31,101383.07,101987.65,1209.87624
1747321200000,101987.64,103291.99,101931.86,103251.35,1083.57557
1747324800000,103251.36,103847.13,103026.33,103846.27,1096.42524
1747328400000,103846.28,104192.7,103650.79,103968.24,1311.32988
1747332000000,103968.24,104012.49,102641.54,102697.31,1125.34279
1747335600000,102697.31,103228.06,102552.35,103157.26,909.12835
1747339200000,103157.26,103491.43,102884.6,103443.51,666.51008
1747342800000,103443.51,103443.51,102708.46,103288.75,463.839
1747346400000,103288.75,103980.84,103254.25,103492.06,660.25544
1747350000000,103492.06,103893.73,103230.76,103763.71,690.0392
1747353600000,103763.71,104033.9,103655.16,103764.81,805.5454
1747357200000,103764.82,104108.9,103467.91,104047.61,842.64231
1747360800000,104047.6,104466.01,103928.8,104199.8,1102.45583
1747364400000,104199.8,104328.32,103988.18,104023.49,543.50598
1747368000000,104023.49,104184.72,103816.6,103919.95,458.36015
1747371600000,103919.96,104148.0,103833.64,103898.52,418.83888
1747375200000,103898.52,104100.0,103860.32,103987.87,741.97708
1747378800000,103987.87,104190.48,103694.18,103710.17,719.7843
1747382400000,103710.17,103760.0,103100.49,103388.6,1261.58345
